date,equity,cash,invested,gross_pct,regime,n_positions
2024-05-21,2430871.92,0.0,2430871.92,1.0,多頭,15
2024-05-22,2507682.79,11524.53,2496158.26,0.9954,多頭,14
2024-05-23,2511393.63,11524.53,2499869.1,0.9954,多頭,14
2024-05-24,2561082.13,0.0,2561082.13,1.0,多頭,14
2024-05-27,2590795.22,0.0,2590795.22,1.0,多頭,14
2024-05-28,2592954.77,0.0,2592954.77,1.0,多頭,14
2024-05-29,2571095.3,0.0,2571095.3,1.0,多頭,14
2024-05-30,2553218.21,0.0,2553218.21,1.0,多頭,14
2024-05-31,2596162.87,526556.8,2069606.07,0.7972,盤整,12
2024-06-03,2657086.59,0.0,2657086.59,1.0,多頭,13
2024-06-04,2627014.67,0.0,2627014.67,1.0,多頭,13
2024-06-05,2629781.29,0.0,2629781.29,1.0,多頭,13
2024-06-06,2641688.53,0.0,2641688.53,1.0,多頭,13
2024-06-07,2688879.87,0.0,2688879.87,1.0,多頭,13
2024-06-11,2746286.02,0.0,2746286.02,1.0,多頭,13
2024-06-12,2759122.04,0.0,2759122.04,1.0,多頭,13
2024-06-13,2759934.26,0.0,2759934.26,1.0,多頭,13
2024-06-14,2703160.44,0.0,2703160.44,1.0,多頭,13
2024-06-17,2743531.99,0.0,2743531.99,1.0,多頭,13
2024-06-18,2741133.53,0.0,2741133.53,1.0,多頭,13
2024-06-19,2743956.26,0.0,2743956.26,1.0,多頭,13
2024-06-20,2811068.44,0.0,2811068.44,1.0,多頭,13
2024-06-21,2773602.58,0.0,2773602.58,1.0,多頭,13
2024-06-24,2734532.69,0.0,2734532.69,1.0,多頭,13
2024-06-25,2759116.66,0.0,2759116.66,1.0,多頭,13
2024-06-26,2765461.89,0.0,2765461.89,1.0,多頭,13
2024-06-27,2742082.47,0.0,2742082.47,1.0,多頭,13
2024-06-28,2801975.03,0.0,2801975.03,1.0,多頭,13
2024-07-01,2846302.54,0.0,2846302.54,1.0,多頭,13
2024-07-02,2859377.88,0.0,2859377.88,1.0,多頭,13
2024-07-03,2838731.24,0.0,2838731.24,1.0,多頭,14
2024-07-04,2932717.45,0.0,2932717.45,1.0,多頭,14
2024-07-05,3030433.64,0.0,3030433.64,1.0,多頭,14
2024-07-08,2912525.04,0.0,2912525.04,1.0,多頭,14
2024-07-09,2875971.9,0.0,2875971.9,1.0,多頭,14
2024-07-10,2919012.5,0.0,2919012.5,1.0,多頭,14
2024-07-11,2927073.65,0.0,2927073.65,1.0,多頭,14
2024-07-12,2911082.32,0.0,2911082.32,1.0,多頭,14
2024-07-15,2864970.71,0.0,2864970.71,1.0,多頭,14
2024-07-16,2873161.87,0.0,2873161.87,1.0,多頭,14
2024-07-17,2878069.24,0.0,2878069.24,1.0,多頭,14
2024-07-18,2811984.17,14746.61,2797237.55,0.9948,盤整,13
2024-07-19,2754065.19,144092.15,2609973.04,0.9477,盤整,12
2024-07-22,2689814.72,276459.07,2413355.65,0.8972,盤整,11
2024-07-23,2731032.64,729391.91,2001640.72,0.7329,盤整,10
2024-07-26,2695701.82,809895.94,1885805.88,0.6996,盤整,10
2024-07-29,2628071.98,809895.94,1818176.03,0.6918,盤整,10
2024-07-30,2636466.44,790842.99,1845623.45,0.7,盤整,11
2024-07-31,2627880.09,788647.37,1839232.72,0.6999,盤整,11
2024-08-01,2706447.32,810966.76,1895480.55,0.7004,盤整,11
2024-08-02,2630337.81,788991.77,1841346.04,0.7,盤整,12
2024-08-05,2462572.49,1457503.37,1005069.12,0.4081,盤整,10
2024-08-06,2470335.71,1457503.37,1012832.34,0.41,盤整,10
2024-08-07,2530139.02,1214458.44,1315680.58,0.52,盤整,11
2024-08-08,2527355.68,1250807.56,1276548.13,0.5051,盤整,10
2024-08-09,2546995.72,774394.05,1772601.66,0.696,盤整,12
2024-08-12,2568424.65,790588.82,1777835.83,0.6922,空頭,11
2024-08-13,2602006.33,822191.38,1779814.96,0.684,空頭,10
2024-08-14,2612594.6,858672.61,1753921.99,0.6713,空頭,9
2024-08-15,2614664.59,1177308.07,1437356.52,0.5497,空頭,8
2024-08-16,2637801.8,793482.31,1844319.5,0.6992,盤整,10
2024-08-19,2636873.64,793482.31,1843391.34,0.6991,盤整,10
2024-08-20,2647672.66,794278.44,1853394.22,0.7,盤整,10
2024-08-21,2602214.55,780644.43,1821570.12,0.7,盤整,11
2024-08-22,2614224.79,783191.67,1831033.12,0.7004,盤整,12
2024-08-23,2600610.37,783191.67,1817418.7,0.6988,盤整,12
2024-08-26,2571366.03,783191.67,1788174.36,0.6954,盤整,12
2024-08-27,2589411.34,783191.67,1806219.67,0.6975,盤整,12
2024-08-28,2593448.36,783191.67,1810256.7,0.698,盤整,12
2024-08-29,2626194.06,788008.9,1838185.16,0.6999,盤整,12
2024-08-30,2642032.97,792780.65,1849252.32,0.6999,盤整,12
2024-09-02,2616247.34,792780.65,1823466.69,0.697,盤整,12
2024-09-03,2632438.65,792780.65,1839658.0,0.6988,盤整,12
2024-09-04,2563402.18,1068817.93,1494584.25,0.583,空頭,11
2024-09-05,2543032.06,1216180.16,1326851.91,0.5218,空頭,10
2024-09-06,2546734.89,1476743.03,1069991.86,0.4201,空頭,9
2024-09-09,2545075.9,1527045.54,1018030.36,0.4,空頭,9
2024-09-10,2529172.57,1527045.54,1002127.03,0.3962,空頭,9
2024-09-11,2527337.77,1527045.54,1000292.24,0.3958,空頭,9
2024-09-12,2544483.12,1527045.54,1017437.58,0.3999,空頭,9
